0, 1000, 1500, 2000, 3000, 3500, 4000, 4500, 5000, 5500, 6000, 6500, 7000, 7500, 8000, 8500, 9000, 9500, 10000, 10500, 11000, 11500, 12000, 12500, 13000, 13500, 14000, 14500, 15000, 15500, 16000, 16500, 17000, 17500, 18000, 18500, 19000, 19500, 20000, 20500, 21000, 21500, 22000, 22500, 23000, 23500, 24000, 24500, 25000, 25500, 26000, 26500, 27000, 27500, 28000, 28500, 29000, 29500, 30000, 30500, 31000, 31500, 32000, 32500, 33000, 33500, 34000, 34500, 35000, 35500, 36000, 36500, 37000, 37500, 38000, 38500, 39000, 39500, 40000, 40500, 41000, 41500, 42000, 42500, 43000, 43500, 44000, 44500, 45000, 45500, 46000, 46500, 47000, 47500, 48000, 48500, 49000, 49500, 50000, 50500, 51000, 51500, 52000, 52500, 53000, 53500, 54000, 54500, 55000, 55500, 56000, 56500, 57000, 57500
202.0, 195.0, 192.0, 192.0, 188.0, 188.0, 187.0, 186.0, 185.0, 185.0, 185.0, 183.0, 181.0, 181.0, 178.0, 175.0, 171.0, 170.0, 170.0, 169.0, 163.0, 162.0, 156.0, 154.0, 151.0, 150.0, 147.0, 147.0, 144.0, 141.0, 140.0, 139.0, 135.0, 134.0, 134.0, 133.0, 131.0, 127.0, 126.0, 125.0, 125.0, 113.0, 111.0, 110.0, 110.0, 109.0, 106.0, 102.0, 100.0, 97.0, 96.0, 95.0, 94.0, 93.0, 92.0, 89.0, 87.0, 84.0, 81.0, 80.0, 79.0, 76.0, 76.0, 69.0, 67.0, 64.0, 62.0, 63.0, 62.0, 62.0, 57.0, 57.0, 55.0, 55.0, 52.0, 50.0, 50.0, 47.0, 47.0, 45.0, 41.0, 37.0, 36.0, 33.0, 31.0, 26.0, 26.0, 26.0, 26.0, 25.0, 23.0, 22.0, 22.0, 22.0, 22.0, 19.0, 18.0, 18.0, 17.0, 16.0, 14.0, 9.0, 8.0, 8.0, 7.0, 7.0, 4.0, 4.0, 4.0, 4.0, 1.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0, 2.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 7.0, 8.0, 8.0, 8.0, 11.0, 11.0, 11.0, 11.0, 14.0, 14.0, 15.0, 16.0, 15.0, 16.0, 16.0, 16.0, 18.0, 18.0, 20.0, 21.0, 24.0, 26.0, 26.0, 26.0, 28.0, 33.0, 37.0, 37.0, 37.0, 37.0, 37.0, 37.0, 38.0, 40.0, 43.0, 46.0, 46.0, 46.0, 46.0, 46.0, 50.0, 51.0, 51.0, 53.0, 54.0, 57.0, 57.0, 58.0, 58.0, 58.0, 57.0, 59.0, 59.0, 59.0, 59.0, 59.0, 59.0, 59.0, 59.0, 61.0, 62.0, 62.0, 62.0, 63.0, 63.0, 66.0, 69.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 70.0, 71.0, 71.0, 71.0, 71.0, 71.0, 71.0, 71.0, 71.0, 71.0, 72.0, 72.0, 73.0, 73.0, 73.0, 74.0, 74.0, 75.0, 75.0, 75.0, 77.0, 77.0, 77.0
0.0, 0.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 10.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0
0.0, 7.0, 8.0, 7.0, 8.0, 6.0, 4.0, 4.0, 2.0, 0.0, 0.0, 2.0, 4.0, 4.0, 7.0, 10.0, 14.0, 13.0, 12.0, 13.0, 19.0, 17.0, 23.0, 25.0, 28.0, 26.0, 28.0, 27.0, 29.0, 33.0, 33.0, 34.0, 38.0, 37.0, 37.0, 36.0, 37.0, 38.0, 37.0, 38.0, 38.0, 48.0, 45.0, 42.0, 42.0, 43.0, 46.0, 50.0, 52.0, 54.0, 53.0, 51.0, 49.0, 50.0, 51.0, 54.0, 56.0, 55.0, 57.0, 58.0, 57.0, 59.0, 56.0, 63.0, 64.0, 67.0, 69.0, 69.0, 68.0, 68.0, 73.0, 72.0, 74.0, 74.0, 77.0, 79.0, 77.0, 79.0, 79.0, 81.0, 84.0, 88.0, 86.0, 86.0, 87.0, 92.0, 92.0, 92.0, 92.0, 93.0, 95.0, 96.0, 95.0, 95.0, 95.0, 98.0, 99.0, 99.0, 100.0, 101.0, 103.0, 107.0, 108.0, 107.0, 108.0, 108.0, 110.0, 110.0, 109.0, 109.0, 112.0, 111.0, 111.0, 111.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
