Generation,Red.Pop,White.Pop,Population,Rep,Red.0,White.0,D.0,Red.1,White.1,D.1,Fitness,Complete,Mutator.Ever
3000,Ara - 6,607,Ara - 6,2,98,125,2000,96,41,200000,1.313463627,Yes,No
3500,Ara - 6,607,Ara - 6,2,58,117,2000,120,48,200000,1.435631589,Yes,No
4000,Ara - 6,607,Ara - 6,2,78,119,2000,138,46,200000,1.416185162,Yes,No
4500,Ara - 6,607,Ara - 6,2,85,114,2000,101,58,200000,1.215865403,Yes,No
5000,Ara - 6,607,Ara - 6,2,73,95,2000,81,42,200000,1.242862495,Yes,No
6000,Ara - 6,607,Ara - 6,2,68,121,2000,94,39,200000,1.419245779,Yes,No
7000,Ara - 6,607,Ara - 6,2,71,108,2000,87,59,200000,1.201926408,Yes,No
8000,Ara - 6,607,Ara - 6,2,68,111,2000,84,30,200000,1.460939302,Yes,No
9000,Ara - 6,607,Ara - 6,2,70,113,2000,72,20,200000,1.612429948,Yes,No
10000,Ara - 6,607,Ara - 6,2,81,124,2000,79,30,200000,1.437553437,Yes,No
11000,Ara - 6,607,Ara - 6,2,84,109,2000,175,57,200000,1.349332817,Yes,No
12000,Ara - 6,607,Ara - 6,2,87,116,2000,157,53,200000,1.359414443,Yes,No
13000,Ara - 6,607,Ara - 6,2,72,160,2000,178,43,200000,1.674250577,Yes,No
14000,Ara - 6,607,Ara - 6,2,73,109,2000,122,27,200000,1.594789826,Yes,No
15000,Ara - 6,607,Ara - 6,2,76,114,2000,166,42,200000,1.493473873,Yes,No
16000,Ara - 6,607,Ara - 6,2,84,125,2000,119,34,200000,1.499591737,Yes,No
17000,Ara - 6,607,Ara - 6,2,82,112,2000,139,42,200000,1.416236763,Yes,No
18000,Ara - 6,607,Ara - 6,2,78,139,2000,135,30,200000,1.677706572,Yes,No
19000,Ara - 6,607,Ara - 6,2,82,125,2000,123,39,200000,1.456403017,Yes,No
20000,Ara - 6,607,Ara - 6,2,81,118,2000,122,45,200000,1.377242014,Yes,No
22000,Ara - 6,607,Ara - 6,2,83,119,2000,114,25,200000,1.616634905,Yes,No
24000,Ara - 6,607,Ara - 6,2,78,103,2000,135,29,200000,1.544080943,Yes,No
26000,Ara - 6,607,Ara - 6,2,70,153,2000,102,38,200000,1.550795127,Yes,No
28000,Ara - 6,607,Ara - 6,2,88,149,2000,145,28,200000,1.740136944,Yes,No
30000,Ara - 6,607,Ara - 6,2,58,131,2000,114,45,200000,1.49320614,Yes,No
32000,Ara - 6,607,Ara - 6,2,60,115,2000,151,19,200000,1.971031027,Yes,No
34000,Ara - 6,607,Ara - 6,2,64,114,2000,125,37,200000,1.51573796,Yes,No
36000,Ara - 6,607,Ara - 6,2,56,128,2000,109,25,200000,1.773599747,Yes,No
38000,Ara - 6,607,Ara - 6,2,62,106,2000,133,27,200000,1.658153589,Yes,No
40000,Ara - 6,607,Ara - 6,2,59,138,2000,153,23,200000,1.975563195,Yes,No
42000,Ara - 6,607,Ara - 6,2,62,125,2000,131,27,200000,1.742195714,Yes,No
44000,Ara - 6,607,Ara - 6,2,54,136,2000,110,28,200000,1.757738514,Yes,No
46000,Ara - 6,607,Ara - 6,2,44,108,2000,98,23,200000,1.767496941,Yes,No
48000,Ara - 6,607,Ara - 6,2,55,129,2000,110,23,200000,1.83914945,Yes,No
50000,Ara - 6,607,Ara - 6,2,71,112,2000,150,34,200000,1.568437054,Yes,No
0,Ara - 6,607,Ara - 6,2,130,134,2000,95,137,200000,0.927431145,Yes,No
0,606,Ara + 1,Ara + 1,1,147,154,2000,158,83,200000,0.852421349,Yes,No
500,606,Ara + 1,Ara + 1,1,31,27,2000,92,165,200000,1.126877015,Yes,No
1000,606,Ara + 1,Ara + 1,1,149,118,2000,66,192,200000,1.343219196,Yes,No
1500,606,Ara + 1,Ara + 1,1,145,100,2000,70,174,200000,1.330705753,Yes,No
2000,606,Ara + 1,Ara + 1,1,113,70,2000,86,155,200000,1.246523184,Yes,No
2500,606,Ara + 1,Ara + 1,1,73,28,2000,64,106,200000,1.326987875,Yes,No
3000,606,Ara + 1,Ara + 1,1,132,61,2000,63,127,200000,1.381057891,Yes,No
3500,606,Ara + 1,Ara + 1,1,100,64,2000,54,127,200000,1.326271082,Yes,No
4000,606,Ara + 1,Ara + 1,1,49,44,2000,54,128,200000,1.206424489,Yes,No
4500,606,Ara + 1,Ara + 1,1,165,32,2000,84,77,200000,1.395211651,Yes,No
5000,606,Ara + 1,Ara + 1,1,130,76,2000,66,97,200000,1.234731134,Yes,No
6000,606,Ara + 1,Ara + 1,1,151,62,2000,61,104,200000,1.384902201,Yes,No
7000,606,Ara + 1,Ara + 1,1,140,62,2000,58,110,200000,1.390589906,Yes,No
8000,606,Ara + 1,Ara + 1,1,137,86,2000,58,128,200000,1.335649843,Yes,No
9000,606,Ara + 1,Ara + 1,1,140,77,2000,55,158,200000,1.45033001,Yes,No
10000,606,Ara + 1,Ara + 1,1,141,95,2000,96,120,200000,1.146425471,Yes,No
11000,606,Ara + 1,Ara + 1,1,141,88,2000,81,161,200000,1.285958647,Yes,No
12000,606,Ara + 1,Ara + 1,1,137,62,2000,80,153,200000,1.354359804,Yes,No
13000,606,Ara + 1,Ara + 1,1,140,74,2000,58,159,200000,1.442011665,Yes,No
14000,606,Ara + 1,Ara + 1,1,122,74,2000,80,146,200000,1.263325281,Yes,No
15000,606,Ara + 1,Ara + 1,1,67,27,2000,58,183,200000,1.461317089,Yes,No
16000,606,Ara + 1,Ara + 1,1,115,76,2000,51,140,200000,1.375525227,Yes,No
17000,606,Ara + 1,Ara + 1,1,142,78,2000,92,140,200000,1.244291513,Yes,No
18000,606,Ara + 1,Ara + 1,1,143,83,2000,51,162,200000,1.475574377,Yes,No
19000,606,Ara + 1,Ara + 1,1,145,78,2000,38,178,200000,1.662647682,Yes,No
20000,606,Ara + 1,Ara + 1,1,143,100,2000,37,167,200000,1.573197291,Yes,No
22000,606,Ara + 1,Ara + 1,1,134,72,2000,48,166,200000,1.520314132,Yes,No
24000,606,Ara + 1,Ara + 1,1,130,61,2000,37,170,200000,1.681351219,Yes,No
26000,606,Ara + 1,Ara + 1,1,103,74,2000,45,154,200000,1.41326745,Yes,No
28000,606,Ara + 1,Ara + 1,1,115,78,2000,48,156,200000,1.419912605,Yes,No
30000,606,Ara + 1,Ara + 1,1,90,53,2000,40,146,200000,1.480793239,Yes,No
32000,606,Ara + 1,Ara + 1,1,157,82,2000,55,148,200000,1.46099182,Yes,No
34000,606,Ara + 1,Ara + 1,1,125,89,2000,82,157,200000,1.236449391,Yes,No
36000,606,Ara + 1,Ara + 1,1,150,77,2000,51,157,200000,1.507959987,Yes,No
38000,606,Ara + 1,Ara + 1,1,155,79,2000,32,158,200000,1.750074539,Yes,No
40000,606,Ara + 1,Ara + 1,1,151,86,2000,37,134,200000,1.578294876,Yes,No
42000,606,Ara + 1,Ara + 1,1,112,80,2000,36,132,200000,1.471373355,Yes,No
44000,606,Ara + 1,Ara + 1,1,122,78,2000,41,112,200000,1.413187544,Yes,No
46000,606,Ara + 1,Ara + 1,1,146,79,2000,38,136,200000,1.579668826,Yes,No
48000,606,Ara + 1,Ara + 1,1,132,81,2000,44,127,200000,1.441558436,Yes,No
50000,606,Ara + 1,Ara + 1,1,135,78,2000,42,100,200000,1.411938831,Yes,No
0,606,Ara + 1,Ara + 1,1,127,145,2000,151,142,200000,0.95939959,Yes,No
0,606,Ara + 1,Ara + 1,2,144,152,2000,135,142,200000,0.999225891,Yes,No
500,606,Ara + 1,Ara + 1,2,121,127,2000,103,163,200000,1.092397533,Yes,No
1000,606,Ara + 1,Ara + 1,2,117,124,2000,40,102,200000,1.248589079,Yes,No
1500,606,Ara + 1,Ara + 1,2,108,79,2000,118,149,200000,1.116313849,Yes,No
2000,606,Ara + 1,Ara + 1,2,149,94,2000,81,130,200000,1.233686994,Yes,No
2500,606,Ara + 1,Ara + 1,2,161,49,2000,81,109,200000,1.379377549,Yes,No
3000,606,Ara + 1,Ara + 1,2,150,70,2000,78,100,200000,1.255767926,Yes,No
3500,606,Ara + 1,Ara + 1,2,131,76,2000,86,131,200000,1.230697933,Yes,No
4000,606,Ara + 1,Ara + 1,2,171,72,2000,75,103,200000,1.312679174,Yes,No
4500,606,Ara + 1,Ara + 1,2,125,54,2000,69,97,200000,1.294177278,Yes,No
5000,606,Ara + 1,Ara + 1,2,147,79,2000,91,111,200000,1.198675588,Yes,No
6000,606,Ara + 1,Ara + 1,2,159,83,2000,67,133,200000,1.357052896,Yes,No
7000,606,Ara + 1,Ara + 1,2,159,89,2000,93,138,200000,1.239605372,Yes,No
8000,606,Ara + 1,Ara + 1,2,146,82,2000,60,134,200000,1.371479209,Yes,No
9000,606,Ara + 1,Ara + 1,2,144,82,2000,60,139,200000,1.376229423,Yes,No
10000,606,Ara + 1,Ara + 1,2,166,101,2000,54,142,200000,1.420344721,Yes,No
11000,606,Ara + 1,Ara + 1,2,160,73,2000,61,139,200000,1.441739018,Yes,No
12000,606,Ara + 1,Ara + 1,2,160,99,2000,58,131,200000,1.360626692,Yes,No
13000,606,Ara + 1,Ara + 1,2,151,92,2000,64,179,200000,1.406748369,Yes,No
14000,606,Ara + 1,Ara + 1,2,153,92,2000,46,157,200000,1.510156664,Yes,No
15000,606,Ara + 1,Ara + 1,2,149,81,2000,45,146,200000,1.524207996,Yes,No
16000,606,Ara + 1,Ara + 1,2,143,77,2000,51,122,200000,1.417227627,Yes,No
17000,606,Ara + 1,Ara + 1,2,166,85,2000,64,149,200000,1.414669387,Yes,No
18000,606,Ara + 1,Ara + 1,2,162,81,2000,57,159,200000,1.482780427,Yes,No
19000,606,Ara + 1,Ara + 1,2,144,83,2000,47,155,200000,1.500429769,Yes,No
20000,606,Ara + 1,Ara + 1,2,130,86,2000,46,145,200000,1.437789729,Yes,No
22000,606,Ara + 1,Ara + 1,2,170,110,2000,61,135,200000,1.343473359,Yes,No
24000,606,Ara + 1,Ara + 1,2,148,86,2000,60,123,200000,1.340519117,Yes,No
26000,606,Ara + 1,Ara + 1,2,168,97,2000,55,167,200000,1.475819087,Yes,No
28000,606,Ara + 1,Ara + 1,2,162,96,2000,59,148,200000,1.401356969,Yes,No
30000,606,Ara + 1,Ara + 1,2,152,83,2000,62,141,200000,1.384709353,Yes,No
32000,606,Ara + 1,Ara + 1,2,161,97,2000,42,146,200000,1.537380065,Yes,No
34000,606,Ara + 1,Ara + 1,2,162,100,2000,51,165,200000,1.48024185,Yes,No
36000,606,Ara + 1,Ara + 1,2,170,80,2000,48,118,200000,1.494901783,Yes,No
38000,606,Ara + 1,Ara + 1,2,157,106,2000,46,150,200000,1.466253128,Yes,No
40000,606,Ara + 1,Ara + 1,2,174,100,2000,55,151,200000,1.452831991,Yes,No
42000,606,Ara + 1,Ara + 1,2,172,94,2000,65,158,200000,1.410898012,Yes,No
44000,606,Ara + 1,Ara + 1,2,164,72,2000,59,110,200000,1.403630289,Yes,No
46000,606,Ara + 1,Ara + 1,2,154,86,2000,32,149,200000,1.699027101,Yes,No
48000,606,Ara + 1,Ara + 1,2,170,27,2000,32,31,200000,1.616063561,Yes,No
50000,606,Ara + 1,Ara + 1,2,142,43,2000,63,87,200000,1.400107896,Yes,No
0,606,Ara + 1,Ara + 1,2,141,174,2000,139,140,200000,0.955754293,Yes,No
0,606,Ara + 2,Ara + 2,1,161,147,2000,118,109,200000,1.002709319,Yes,No
500,606,Ara + 2,Ara + 2,1,110,95,2000,55,115,200000,1.226021784,Yes,No
1000,606,Ara + 2,Ara + 2,1,133,98,2000,82,125,200000,1.176384576,Yes,No
1500,606,Ara + 2,Ara + 2,1,120,70,2000,69,140,200000,1.307650192,Yes,No
2000,606,Ara + 2,Ara + 2,1,126,61,2000,83,104,200000,1.227082115,Yes,No
2500,606,Ara + 2,Ara + 2,1,135,66,2000,45,117,200000,1.47657319,Yes,No
3000,606,Ara + 2,Ara + 2,1,117,78,2000,36,123,200000,1.476907422,Yes,No
3500,606,Ara + 2,Ara + 2,1,135,62,2000,57,92,200000,1.335798987,Yes,No
4000,606,Ara + 2,Ara + 2,1,101,60,2000,28,102,200000,1.545877636,Yes,No
4500,606,Ara + 2,Ara + 2,1,112,40,2000,43,122,200000,1.568123188,Yes,No
5000,606,Ara + 2,Ara + 2,1,123,62,2000,37,84,200000,1.442124387,Yes,No
6000,606,Ara + 2,Ara + 2,1,144,50,2000,38,103,200000,1.627854837,Yes,No
7000,606,Ara + 2,Ara + 2,1,145,63,2000,36,82,200000,1.515822646,Yes,No
8000,606,Ara + 2,Ara + 2,1,112,60,2000,55,149,200000,1.416221252,Yes,No
9000,606,Ara + 2,Ara + 2,1,110,48,2000,54,97,200000,1.36341161,Yes,No
10000,606,Ara + 2,Ara + 2,1,137,45,2000,46,72,200000,1.444342176,Yes,No
11000,606,Ara + 2,Ara + 2,1,159,58,2000,39,73,200000,1.511077213,Yes,No
12000,606,Ara + 2,Ara + 2,1,100,64,2000,28,90,200000,1.484331696,Yes,No
13000,606,Ara + 2,Ara + 2,1,133,59,2000,29,94,200000,1.645274241,Yes,No
14000,606,Ara + 2,Ara + 2,1,111,54,2000,36,112,200000,1.533326051,Yes,No
15000,606,Ara + 2,Ara + 2,1,136,78,2000,36,107,200000,1.502209634,Yes,No
16000,606,Ara + 2,Ara + 2,1,126,67,2000,32,124,200000,1.614023404,Yes,No
17000,606,Ara + 2,Ara + 2,1,119,63,2000,32,67,200000,1.417690246,Yes,No
18000,606,Ara + 2,Ara + 2,1,122,43,2000,17,113,200000,2.114878996,Yes,No
19000,606,Ara + 2,Ara + 2,1,137,67,2000,40,83,200000,1.428340257,Yes,No
20000,606,Ara + 2,Ara + 2,1,137,56,2000,29,101,200000,1.701872035,Yes,No
22000,606,Ara + 2,Ara + 2,1,111,71,2000,23,103,200000,1.642031981,Yes,No
24000,606,Ara + 2,Ara + 2,1,159,64,2000,31,97,200000,1.690427638,Yes,No
26000,606,Ara + 2,Ara + 2,1,158,91,2000,28,98,200000,1.627699757,Yes,No
28000,606,Ara + 2,Ara + 2,1,90,54,2000,19,95,200000,1.695214075,Yes,No
30000,606,Ara + 2,Ara + 2,1,123,74,2000,27,83,200000,1.52807272,Yes,No
32000,606,Ara + 2,Ara + 2,1,127,68,2000,21,75,200000,1.676400396,Yes,No
34000,606,Ara + 2,Ara + 2,1,138,69,2000,33,140,200000,1.673596848,Yes,No
36000,606,Ara + 2,Ara + 2,1,112,53,2000,18,103,200000,1.897560507,Yes,No
38000,606,Ara + 2,Ara + 2,1,136,63,2000,18,96,200000,1.946033078,Yes,No
40000,606,Ara + 2,Ara + 2,1,128,66,2000,17,85,200000,1.878384815,Yes,No
42000,606,Ara + 2,Ara + 2,1,126,54,2000,28,114,200000,1.725967248,Yes,No
44000,606,Ara + 2,Ara + 2,1,125,49,2000,23,84,200000,1.766328056,Yes,No
46000,606,Ara + 2,Ara + 2,1,149,44,2000,22,65,200000,1.855450837,Yes,No
48000,606,Ara + 2,Ara + 2,1,140,39,2000,20,86,200000,2.029119289,Yes,No
50000,606,Ara + 2,Ara + 2,1,163,48,2000,14,85,200000,2.407196019,Yes,No
0,606,Ara + 2,Ara + 2,1,145,139,2000,111,104,200000,0.994725756,Yes,No
0,606,Ara + 2,Ara + 2,2,65,82,2000,78,100,200000,1.003369067,Yes,No
500,606,Ara + 2,Ara + 2,2,50,66,2000,42,167,200000,1.24886889,Yes,No
1000,606,Ara + 2,Ara + 2,2,87,69,2000,44,120,200000,1.314800287,Yes,No
1500,606,Ara + 2,Ara + 2,2,60,59,2000,40,118,200000,1.261592723,Yes,No
2000,606,Ara + 2,Ara + 2,2,113,74,2000,28,104,200000,1.540659255,Yes,No
2500,606,Ara + 2,Ara + 2,2,119,114,2000,21,54,200000,1.343968951,Yes,No
3000,606,Ara + 2,Ara + 2,2,94,64,2000,35,109,200000,1.420325571,Yes,No
3500,606,Ara + 2,Ara + 2,2,92,66,2000,31,108,200000,1.449278407,Yes,No
4000,606,Ara + 2,Ara + 2,2,100,57,2000,33,94,200000,1.460146621,Yes,No
4500,606,Ara + 2,Ara + 2,2,90,51,2000,22,66,200000,1.52139744,Yes,No
5000,606,Ara + 2,Ara + 2,2,61,45,2000,17,63,200000,1.485087323,Yes,No
6000,606,Ara + 2,Ara + 2,2,111,88,2000,30,84,200000,1.382734319,Yes,No
7000,606,Ara + 2,Ara + 2,2,97,78,2000,17,93,200000,1.669555707,Yes,No
8000,606,Ara + 2,Ara + 2,2,102,84,2000,12,89,200000,1.891599589,Yes,No
9000,606,Ara + 2,Ara + 2,2,79,54,2000,12,81,200000,1.841719442,Yes,No
10000,606,Ara + 2,Ara + 2,2,65,50,2000,21,101,200000,1.527424832,Yes,No
11000,606,Ara + 2,Ara + 2,2,73,66,2000,34,76,200000,1.235657568,Yes,No
12000,606,Ara + 2,Ara + 2,2,96,100,2000,16,87,200000,1.587364437,Yes,No
13000,606,Ara + 2,Ara + 2,2,74,74,2000,29,81,200000,1.280000291,Yes,No
14000,606,Ara + 2,Ara + 2,2,82,83,2000,28,102,200000,1.362722152,Yes,No
15000,606,Ara + 2,Ara + 2,2,74,61,2000,31,86,200000,1.32490531,Yes,No
16000,606,Ara + 2,Ara + 2,2,104,93,2000,22,85,200000,1.479516936,Yes,No
17000,606,Ara + 2,Ara + 2,2,139,55,2000,20,71,200000,1.822856615,Yes,No
18000,606,Ara + 2,Ara + 2,2,120,68,2000,34,105,200000,1.507046682,Yes,No
19000,606,Ara + 2,Ara + 2,2,91,66,2000,31,78,200000,1.352557076,Yes,No
20000,606,Ara + 2,Ara + 2,2,102,47,2000,27,112,200000,1.670776633,Yes,No
22000,606,Ara + 2,Ara + 2,2,130,54,2000,18,110,200000,2.023078899,Yes,No
24000,606,Ara + 2,Ara + 2,2,124,77,2000,18,119,200000,1.884111281,Yes,No
26000,606,Ara + 2,Ara + 2,2,88,76,2000,30,146,200000,1.489939826,Yes,No
28000,606,Ara + 2,Ara + 2,2,110,33,2000,23,68,200000,1.75258151,Yes,No
30000,606,Ara + 2,Ara + 2,2,95,48,2000,14,71,200000,1.857248274,Yes,No
32000,606,Ara + 2,Ara + 2,2,103,39,2000,29,132,200000,1.745017781,Yes,No
34000,606,Ara + 2,Ara + 2,2,124,42,2000,41,86,200000,1.521196989,Yes,No
36000,606,Ara + 2,Ara + 2,2,105,30,2000,42,104,200000,1.585403854,Yes,No
38000,606,Ara + 2,Ara + 2,2,101,51,2000,11,79,200000,2.111770802,Yes,No
40000,606,Ara + 2,Ara + 2,2,115,53,2000,37,116,200000,1.552355616,Yes,No
42000,606,Ara + 2,Ara + 2,2,149,58,2000,35,89,200000,1.594566396,Yes,No
44000,606,Ara + 2,Ara + 2,2,107,31,2000,17,96,200000,2.0739171,Yes,No
46000,606,Ara + 2,Ara + 2,2,137,64,2000,30,90,200000,1.602552547,Yes,No
48000,606,Ara + 2,Ara + 2,2,111,46,2000,28,115,200000,1.710572156,Yes,No
50000,606,Ara + 2,Ara + 2,2,107,22,2000,33,107,200000,1.804382965,Yes,No
0,606,Ara + 2,Ara + 2,2,123,127,2000,120,115,200000,0.983721709,Yes,No
0,606,Ara + 3,Ara + 3,1,199,196,2000,132,147,200000,1.029280232,Yes,Yes
500,606,Ara + 3,Ara + 3,1,210,161,2000,102,154,200000,1.174524019,Yes,Yes
1000,606,Ara + 3,Ara + 3,1,215,182,2000,90,174,200000,1.221157304,Yes,Yes
1500,606,Ara + 3,Ara + 3,1,156,121,2000,106,142,200000,1.1295296,Yes,Yes
2000,606,Ara + 3,Ara + 3,1,41,47,2000,69,135,200000,1.104296439,Yes,Yes
2500,606,Ara + 3,Ara + 3,1,207,139,2000,85,181,200000,1.310648384,Yes,Yes
3000,606,Ara + 3,Ara + 3,1,145,114,2000,66,147,200000,1.272731344,Yes,Yes
3500,606,Ara + 3,Ara + 3,1,181,127,2000,66,116,200000,1.255328607,Yes,Yes
4000,606,Ara + 3,Ara + 3,1,200,118,2000,52,134,200000,1.452481627,Yes,Yes
4500,606,Ara + 3,Ara + 3,1,211,121,2000,56,144,200000,1.457664864,Yes,Yes
5000,606,Ara + 3,Ara + 3,1,203,112,2000,43,115,200000,1.51698466,Yes,Yes
6000,606,Ara + 3,Ara + 3,1,190,87,2000,81,130,200000,1.334222361,Yes,Yes
7000,606,Ara + 3,Ara + 3,1,193,86,2000,53,128,200000,1.510171327,Yes,Yes
8000,606,Ara + 3,Ara + 3,1,212,93,2000,43,129,200000,1.638783066,Yes,Yes
9000,606,Ara + 3,Ara + 3,1,209,102,2000,43,122,200000,1.58206395,Yes,Yes
10000,606,Ara + 3,Ara + 3,1,216,112,2000,49,118,200000,1.491923606,Yes,Yes
11000,606,Ara + 3,Ara + 3,1,227,105,2000,45,108,200000,1.551229691,Yes,Yes
12000,606,Ara + 3,Ara + 3,1,232,68,2000,54,100,200000,1.58569166,Yes,Yes
13000,606,Ara + 3,Ara + 3,1,213,86,2000,58,124,200000,1.50442539,Yes,Yes
14000,606,Ara + 3,Ara + 3,1,176,86,2000,49,117,200000,1.476923866,Yes,Yes
15000,606,Ara + 3,Ara + 3,1,190,93,2000,41,114,200000,1.565498154,Yes,Yes
16000,606,Ara + 3,Ara + 3,1,205,93,2000,37,123,200000,1.688428327,Yes,Yes
17000,606,Ara + 3,Ara + 3,1,212,99,2000,32,98,200000,1.692880032,Yes,Yes
18000,606,Ara + 3,Ara + 3,1,201,112,2000,51,112,200000,1.424121944,Yes,Yes
19000,606,Ara + 3,Ara + 3,1,195,73,2000,61,118,200000,1.477005418,Yes,Yes
20000,606,Ara + 3,Ara + 3,1,204,109,2000,42,108,200000,1.519464221,Yes,Yes
22000,606,Ara + 3,Ara + 3,1,217,117,2000,49,129,200000,1.508716121,Yes,Yes
24000,606,Ara + 3,Ara + 3,1,213,101,2000,60,146,200000,1.489911523,Yes,Yes
26000,606,Ara + 3,Ara + 3,1,224,124,2000,59,101,200000,1.345131858,Yes,Yes
28000,606,Ara + 3,Ara + 3,1,191,93,2000,31,104,200000,1.692557586,Yes,Yes
30000,606,Ara + 3,Ara + 3,1,232,52,2000,31,82,200000,1.952093287,Yes,Yes
32000,606,Ara + 3,Ara + 3,1,204,50,2000,39,79,200000,1.715778052,Yes,Yes
34000,606,Ara + 3,Ara + 3,1,229,29,2000,60,83,200000,1.732110825,Yes,Yes
36000,606,Ara + 3,Ara + 3,1,227,49,2000,64,65,200000,1.463787367,Yes,Yes
38000,606,Ara + 3,Ara + 3,1,205,77,2000,34,137,200000,1.844866457,Yes,Yes
40000,606,Ara + 3,Ara + 3,1,195,51,2000,29,85,200000,1.895187768,Yes,Yes
42000,606,Ara + 3,Ara + 3,1,188,62,2000,24,90,200000,1.954562804,Yes,Yes
44000,606,Ara + 3,Ara + 3,1,202,72,2000,31,75,200000,1.701274201,Yes,Yes
46000,606,Ara + 3,Ara + 3,1,179,40,2000,29,62,200000,1.810872484,Yes,Yes
48000,606,Ara + 3,Ara + 3,1,179,26,2000,35,46,200000,1.740828956,Yes,Yes
50000,606,Ara + 3,Ara + 3,1,184,16,2000,32,18,200000,1.653712285,Yes,Yes
0,606,Ara + 3,Ara + 3,1,214,209,2000,180,163,200000,0.982950742,Yes,Yes
0,606,Ara + 3,Ara + 3,2,110,163,2000,139,150,200000,0.934470398,Yes,Yes
500,606,Ara + 3,Ara + 3,2,128,108,2000,89,154,200000,1.16931946,Yes,Yes
1000,606,Ara + 3,Ara + 3,2,115,111,2000,100,146,200000,1.09267649,Yes,Yes
1500,606,Ara + 3,Ara + 3,2,140,100,2000,85,197,200000,1.286647198,Yes,Yes
2000,606,Ara + 3,Ara + 3,2,107,78,2000,38,154,200000,1.480538175,Yes,Yes
2500,606,Ara + 3,Ara + 3,2,121,101,2000,36,161,200000,1.494726092,Yes,Yes
3000,606,Ara + 3,Ara + 3,2,162,89,2000,46,129,200000,1.487156639,Yes,Yes
3500,606,Ara + 3,Ara + 3,2,139,78,2000,66,155,200000,1.370830394,Yes,Yes
4000,606,Ara + 3,Ara + 3,2,103,81,2000,46,99,200000,1.265000368,Yes,Yes
4500,606,Ara + 3,Ara + 3,2,114,70,2000,54,133,200000,1.360052931,Yes,Yes
5000,606,Ara + 3,Ara + 3,2,80,48,2000,62,162,200000,1.338205419,Yes,Yes
6000,606,Ara + 3,Ara + 3,2,144,87,2000,53,131,200000,1.390723187,Yes,Yes
7000,606,Ara + 3,Ara + 3,2,139,76,2000,38,112,200000,1.509222942,Yes,Yes
8000,606,Ara + 3,Ara + 3,2,159,89,2000,36,108,200000,1.5381397,Yes,Yes
9000,606,Ara + 3,Ara + 3,2,89,48,2000,36,123,200000,1.498939042,Yes,Yes
10000,606,Ara + 3,Ara + 3,2,121,59,2000,40,137,200000,1.557235619,Yes,Yes
11000,606,Ara + 3,Ara + 3,2,142,76,2000,23,114,200000,1.799255998,Yes,Yes
12000,606,Ara + 3,Ara + 3,2,71,39,2000,60,118,200000,1.287470309,Yes,Yes
13000,606,Ara + 3,Ara + 3,2,65,41,2000,28,116,200000,1.500187928,Yes,Yes
14000,606,Ara + 3,Ara + 3,2,150,74,2000,31,128,200000,1.701534674,Yes,Yes
15000,606,Ara + 3,Ara + 3,2,145,62,2000,26,121,200000,1.827045241,Yes,Yes
16000,606,Ara + 3,Ara + 3,2,137,85,2000,40,124,200000,1.476792833,Yes,Yes
17000,606,Ara + 3,Ara + 3,2,115,42,2000,37,103,200000,1.585128874,Yes,Yes
18000,606,Ara + 3,Ara + 3,2,141,62,2000,38,168,200000,1.700669644,Yes,Yes
19000,606,Ara + 3,Ara + 3,2,127,74,2000,12,63,200000,1.978832585,Yes,Yes
20000,606,Ara + 3,Ara + 3,2,119,59,2000,21,64,200000,1.632608592,Yes,Yes
22000,606,Ara + 3,Ara + 3,2,114,55,2000,17,76,200000,1.823920343,Yes,Yes
24000,606,Ara + 3,Ara + 3,2,178,73,2000,30,106,200000,1.762436454,Yes,Yes
26000,606,Ara + 3,Ara + 3,2,129,58,2000,13,87,200000,2.168817821,Yes,Yes
28000,606,Ara + 3,Ara + 3,2,155,25,2000,30,42,200000,1.729349815,Yes,Yes
30000,606,Ara + 3,Ara + 3,2,154,40,2000,24,35,200000,1.628258143,Yes,Yes
32000,606,Ara + 3,Ara + 3,2,168,38,2000,53,45,200000,1.383238915,Yes,Yes
34000,606,Ara + 3,Ara + 3,2,155,32,2000,29,64,200000,1.808891562,Yes,Yes
36000,606,Ara + 3,Ara + 3,2,132,61,2000,13,61,200000,2.013349674,Yes,Yes
38000,606,Ara + 3,Ara + 3,2,129,62,2000,22,93,200000,1.766547341,Yes,Yes
40000,606,Ara + 3,Ara + 3,2,144,52,2000,23,96,200000,1.883275018,Yes,Yes
42000,606,Ara + 3,Ara + 3,2,132,41,2000,28,78,200000,1.718180359,Yes,Yes
44000,606,Ara + 3,Ara + 3,2,149,42,2000,17,88,200000,2.195512511,Yes,Yes
46000,606,Ara + 3,Ara + 3,2,88,26,2000,28,64,200000,1.591299552,Yes,Yes
48000,606,Ara + 3,Ara + 3,2,134,42,2000,26,31,200000,1.450545868,Yes,Yes
50000,606,Ara + 3,Ara + 3,2,161,24,2000,20,33,200000,1.954208232,Yes,Yes
0,606,Ara + 3,Ara + 3,2,160,139,2000,161,160,200000,1.029160192,Yes,Yes
0,606,Ara + 4,Ara + 4,1,100,136,2000,134,146,200000,0.954731497,Yes,No
500,606,Ara + 4,Ara + 4,1,97,80,2000,94,113,200000,1.082378147,Yes,No
1000,606,Ara + 4,Ara + 4,1,130,93,2000,88,146,200000,1.199575384,Yes,No
1500,606,Ara + 4,Ara + 4,1,105,62,2000,73,128,200000,1.256596334,Yes,No
2000,606,Ara + 4,Ara + 4,1,104,94,2000,83,113,200000,1.093533991,Yes,No
